id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,gc_distance,trip_duration
id0478513,1,2016-01-01T01:54:00.000Z,2016-01-01T02:16:00.000Z,3,-74.00261688,40.72010422,-73.95141602,40.78240967,5.072341849,1296
id2483925,2,2016-01-01T01:54:00.000Z,2016-01-01T02:12:00.000Z,3,-73.95524597,40.77347565,-73.93862152,40.82727432,3.81854799,1075
id1154323,1,2016-01-01T01:54:00.000Z,2016-01-01T02:05:00.000Z,1,-73.94455719,40.8092308,-73.95480347,40.7806282,2.048211357,643
id3521228,2,2016-01-01T01:54:00.000Z,2016-01-01T02:11:00.000Z,1,-73.97647858,40.79076385,-73.99414063,40.75611115,2.567158752,987
id2790907,2,2016-01-01T01:54:00.000Z,2016-01-01T02:04:00.000Z,5,-73.98161316,40.7804184,-73.9923172,40.75867081,1.604064483,580
id0031102,2,2016-01-01T01:54:00.000Z,2016-01-01T02:13:00.000Z,3,-73.96980286,40.67530823,-73.95065308,40.72351074,3.479238054,1159
id0513821,1,2016-01-01T01:54:00.000Z,2016-01-01T02:17:00.000Z,2,-73.97816467,40.72956848,-73.92429352,40.76198196,3.602079429,1365
id2291676,2,2016-01-01T01:54:00.000Z,2016-01-01T02:04:00.000Z,1,-73.95870209,40.81996155,-73.93791962,40.84841156,2.246592243,603
id1245980,1,2016-01-01T01:55:00.000Z,2016-01-01T02:26:00.000Z,2,-73.98118591,40.75793076,-73.97681427,40.67285538,5.88425484,1898
id3283309,1,2016-01-01T01:55:00.000Z,2016-01-01T01:58:00.000Z,1,-73.96907043,40.75761414,-73.97236633,40.76103592,0.292741007,182
id0525328,1,2016-01-01T01:55:00.000Z,2016-01-01T02:05:00.000Z,2,-73.98348999,40.72985458,-73.96683502,40.75329208,1.839687214,583
id1093946,2,2016-01-01T01:55:00.000Z,2016-01-01T02:07:00.000Z,3,-73.97783661,40.74599838,-73.97024536,40.79496384,3.407385174,748
id2166356,1,2016-01-01T01:55:00.000Z,2016-01-01T02:07:00.000Z,1,-73.95192719,40.71578217,-73.92121887,40.70823669,1.691139125,752
id2224808,2,2016-01-01T01:55:00.000Z,2016-01-01T02:10:00.000Z,1,-73.92086792,40.75652695,-73.90562439,40.74380112,1.187657777,934
