id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,gc_distance,trip_duration
id0263284,1,1/1/2016 07:36,1/1/2016 07:39,1,-73.96694183,40.78860855,-73.95918274,40.79933929,0.845479251,188
id1499217,2,1/1/2016 07:36,1/1/2016 07:47,1,-73.9938736,40.76719284,-73.9764328,40.7493248,1.53578927,667
id1975329,2,1/1/2016 07:36,1/1/2016 07:59,1,-73.97673798,40.7467308,-73.97782898,40.75566101,0.619829125,1405
id2068181,1,1/1/2016 07:37,1/1/2016 07:38,1,-73.96302795,40.75873947,-73.95888519,40.76465607,0.462861001,73
id3423312,1,1/1/2016 07:37,1/1/2016 07:44,1,-73.94676971,40.74803162,-73.92527008,40.77302933,2.061925344,407
id1856055,1,1/1/2016 07:39,1/1/2016 07:43,1,-73.96320343,40.77516174,-73.95404816,40.78983307,1.121470644,219
id1917239,2,1/1/2016 07:39,1/1/2016 07:56,1,-73.99951172,40.73826981,-73.94100189,40.83636093,7.438657946,992
id3729801,2,1/1/2016 07:40,1/1/2016 07:45,1,-73.94944763,40.78528976,-73.9666214,40.76145172,1.876765146,284
id3509259,2,1/1/2016 07:40,1/1/2016 07:44,1,-73.9932251,40.76195908,-73.99649048,40.74847794,0.947272829,223
id0260371,2,1/1/2016 07:42,1/1/2016 07:48,1,-73.98806763,40.73173141,-73.95755768,40.77196884,3.207044925,397
id3729530,2,1/1/2016 07:42,1/1/2016 07:51,1,-74.00193024,40.71912003,-73.99320984,40.75815964,2.736507819,557
id3086589,1,1/1/2016 07:44,1/1/2016 07:48,2,-73.95559692,40.77955246,-73.95235443,40.78997803,0.740249439,234
id1263902,1,1/1/2016 07:45,1/1/2016 07:53,1,-73.98847198,40.7274704,-74.00252533,40.73365021,0.850959173,461
id1053687,1,1/1/2016 07:47,1/1/2016 07:55,1,-73.9863205,40.7678566,-73.98009491,40.74666214,1.500628802,443
id3758976,2,1/1/2016 07:47,1/1/2016 07:50,1,-73.95900726,40.81451035,-73.95391846,40.81874847,0.395780129,171
id1723744,1,1/1/2016 07:47,1/1/2016 07:49,1,-73.99246216,40.68982315,-73.99961853,40.68832779,0.38901181,160
id0646553,1,1/1/2016 07:49,1/1/2016 07:49,1,-73.94512939,40.75251389,-73.94864655,40.7537384,0.202657024,24
id3547037,1,1/1/2016 07:49,1/1/2016 07:59,1,-73.97811127,40.68992233,-73.95431519,40.70275116,1.529999842,599
id2898930,2,1/1/2016 07:49,1/1/2016 08:01,1,-73.99987793,40.72864151,-73.97395325,40.74815369,1.913531811,694
id1336271,1,1/1/2016 07:50,1/1/2016 08:19,4,-73.78947449,40.64360046,-73.99015045,40.75633621,13.08692538,1790
id3714621,1,1/1/2016 07:51,1/1/2016 07:53,1,-73.96987915,40.79489136,-73.96199799,40.80570984,0.853850436,118
id0107658,1,1/1/2016 07:52,1/1/2016 08:00,1,-73.9812088,40.78163528,-73.97767639,40.753685,1.940551136,489
id2709974,2,1/1/2016 07:53,1/1/2016 08:13,1,-73.99245453,40.71489334,-73.91632843,40.68819427,4.394817711,1201
id0768977,1,1/1/2016 07:54,1/1/2016 08:15,1,-73.88121796,40.75590897,-73.84043121,40.6870079,5.219228241,1300
id1659356,2,1/1/2016 07:54,1/1/2016 08:06,5,-73.98828888,40.73165131,-73.97924042,40.77199173,2.828001703,711
id1474978,2,1/1/2016 07:55,1/1/2016 08:02,1,-73.99230957,40.76985168,-73.97766113,40.75125885,1.496417186,451
id0286535,1,1/1/2016 07:55,1/1/2016 07:59,1,-73.97386169,40.74397659,-73.98486328,40.74748993,0.625136376,261
id3988249,2,1/1/2016 07:58,1/1/2016 08:10,1,-73.97445679,40.76438904,-73.94709778,40.72176743,3.275587367,731
